Date,Open,High,Low,Close,Adj Close,Volume
2023-01-04,383.179993,385.880005,380.000000,383.760010,375.631317,85934098
2023-01-05,381.720001,381.839996,378.760010,379.380005,371.344086,76970456
2023-01-06,382.609985,389.250000,379.412689,388.079987,379.859833,104189603
2023-01-09,390.369995,393.700012,387.670013,387.859985,379.644470,73978071
2023-01-10,387.250000,390.649994,386.269989,390.579987,382.306854,65358094
2023-01-11,392.230011,395.600006,391.380005,395.519989,387.142181,68881080
2023-01-12,396.670013,398.484985,392.420013,396.959991,388.551666,90157699
2023-01-13,393.619995,399.100006,393.339996,398.500000,390.059113,63903932
2023-01-17,398.480011,400.230011,397.059998,397.769989,389.344574,62677281
2023-01-18,399.010010,400.119995,391.279999,391.489990,383.197571,99632262
2023-01-19,389.359985,391.079987,387.260010,388.640015,380.407959,86958919
2023-01-20,390.100006,396.040009,388.380005,395.880005,387.494598,91806356
2023-01-23,396.720001,402.644989,395.720001,400.630005,392.143982,84178797
2023-01-24,398.880005,401.149994,397.640015,400.200012,391.723083,59524911
2023-01-25,395.950012,400.700012,393.559998,400.350006,391.869904,84800251
2023-01-26,403.130005,404.920013,400.029999,404.750000,396.176666,72287425
2023-01-27,403.654999,408.160004,403.440002,405.679993,397.086975,68346180
2023-01-30,402.799988,405.130005,400.279999,400.589996,392.104858,74202018
2023-01-31,401.130005,406.529999,400.769989,406.480011,397.870056,86811786
2023-02-01,405.210999,413.670013,402.350006,410.799988,402.098541,101459155
2023-02-02,414.859985,418.309998,412.880005,416.779999,407.951904,101654463
2023-02-03,411.589996,416.970001,411.089996,412.350006,403.615753,94736781
2023-02-06,409.790009,411.290009,408.100006,409.829987,401.149078,60295325
2023-02-07,408.869995,416.489990,407.570007,415.190002,406.395569,90990745
2023-02-08,413.130005,414.529999,409.929993,410.649994,401.951752,76227462
2023-02-09,414.410004,414.570007,405.809998,407.089996,398.467102,78694859
2023-02-10,405.859985,408.440002,405.010010,408.040009,399.397064,70769715
2023-02-13,408.720001,412.970001,408.239990,412.829987,404.085541,64913539
2023-02-14,411.239990,415.049988,408.510986,412.640015,403.899597,88389313
2023-02-15,410.350006,414.059998,409.470001,413.980011,405.211212,61685279
2023-02-16,408.790009,412.910004,408.140015,408.279999,399.631897,76431469
2023-02-17,406.059998,407.510010,404.049988,407.260010,398.633545,89257815
2023-02-21,403.059998,404.160004,398.820007,399.089996,390.636597,82655924
2023-02-22,399.519989,401.130005,397.019989,398.540009,390.098297,83742293
2023-02-23,401.559998,402.200012,396.250000,400.660004,392.173309,96242399
